p_within,p_between,node,connection
0.1,0.1,0.0,0.1111111111111111
0.1,0.1,1.0,0.07272727272727272
0.1,0.1,2.0,0.03571428571428571
0.1,0.1,3.0,0.08888888888888889
0.1,0.1,4.0,0.1111111111111111
0.1,0.1,5.0,0.045454545454545456
0.1,0.1,6.0,0.0
0.1,0.1,7.0,0.10606060606060606
0.1,0.1,8.0,0.10606060606060606
0.1,0.1,9.0,0.0
0.1,0.1,10.0,0.07142857142857142
0.1,0.1,11.0,0.06666666666666667
0.1,0.1,12.0,0.07142857142857142
0.1,0.1,13.0,0.0
0.1,0.1,14.0,0.10714285714285714
0.1,0.1,15.0,0.0
0.1,0.1,16.0,0.15555555555555556
0.1,0.1,17.0,0.08333333333333333
0.1,0.1,18.0,0.08791208791208792
0.1,0.1,19.0,0.16666666666666666
0.1,0.1,20.0,0.09090909090909091
0.1,0.1,21.0,0.08974358974358974
0.1,0.1,22.0,0.07692307692307693
0.1,0.1,23.0,0.08791208791208792
0.1,0.1,24.0,0.0
0.1,0.1,25.0,0.06666666666666667
0.1,0.1,26.0,0.044444444444444446
0.1,0.1,27.0,0.0641025641025641
0.1,0.1,28.0,0.0
0.1,0.1,29.0,0.1111111111111111
0.1,0.1,30.0,0.1111111111111111
0.1,0.1,31.0,0.10714285714285714
0.1,0.1,32.0,0.044444444444444446
0.1,0.1,33.0,0.047619047619047616
0.1,0.1,34.0,0.08333333333333333
0.1,0.1,35.0,0.0
0.1,0.1,36.0,0.10909090909090909
0.1,0.1,37.0,0.044444444444444446
0.1,0.1,38.0,0.18181818181818182
0.1,0.1,39.0,0.14285714285714285
0.1,0.1,40.0,0.0
0.1,0.1,41.0,0.07692307692307693
0.1,0.1,42.0,0.11538461538461539
0.1,0.1,43.0,0.047619047619047616
0.1,0.1,44.0,0.05454545454545454
0.1,0.1,45.0,0.1111111111111111
0.1,0.1,46.0,0.07272727272727272
0.1,0.1,47.0,0.10714285714285714
0.1,0.1,48.0,0.1388888888888889
0.1,0.1,49.0,0.0
0.1,0.1,50.0,0.05454545454545454
0.1,0.1,51.0,0.0
0.1,0.1,52.0,0.09090909090909091
0.1,0.1,53.0,0.08888888888888889
0.1,0.1,54.0,0.06666666666666667
0.1,0.1,55.0,0.1111111111111111
0.1,0.1,56.0,0.05454545454545454
0.1,0.1,57.0,0.08974358974358974
0.1,0.1,58.0,0.08888888888888889
0.1,0.1,59.0,0.17857142857142858
0.1,0.1,60.0,0.0989010989010989
0.1,0.1,61.0,0.09090909090909091
0.1,0.1,62.0,0.0
0.1,0.1,63.0,0.05454545454545454
0.1,0.1,64.0,0.05454545454545454
0.1,0.1,65.0,0.044444444444444446
0.1,0.1,66.0,0.13333333333333333
0.1,0.1,67.0,0.07142857142857142
0.1,0.1,68.0,0.08333333333333333
0.1,0.1,69.0,0.13333333333333333
0.1,0.1,70.0,0.13333333333333333
0.1,0.1,71.0,0.14166666666666666
0.1,0.1,72.0,0.09090909090909091
0.1,0.1,73.0,0.10256410256410256
0.1,0.1,74.0,0.08888888888888889
0.1,0.1,75.0,0.13333333333333333
0.1,0.1,76.0,0.09090909090909091
0.1,0.1,77.0,0.1111111111111111
0.1,0.1,78.0,0.06060606060606061
0.1,0.1,79.0,0.06666666666666667
0.1,0.1,80.0,0.07142857142857142
0.1,0.1,81.0,0.06666666666666667
0.1,0.1,82.0,0.07272727272727272
0.1,0.1,83.0,0.06666666666666667
0.1,0.1,84.0,0.027777777777777776
0.1,0.1,85.0,0.07575757575757576
0.1,0.1,86.0,0.027777777777777776
0.1,0.1,87.0,0.16666666666666666
0.1,0.1,88.0,0.07692307692307693
0.1,0.1,89.0,0.06060606060606061
0.1,0.1,90.0,0.19047619047619047
0.1,0.1,91.0,0.07272727272727272
0.1,0.1,92.0,0.1388888888888889
0.1,0.1,93.0,0.1111111111111111
0.1,0.1,94.0,0.09523809523809523
0.1,0.1,95.0,0.10606060606060606
0.1,0.1,96.0,0.2
0.1,0.1,97.0,0.027777777777777776
0.1,0.1,98.0,0.1
0.1,0.1,99.0,0.26666666666666666
0.2,0.1,0.0,0.19047619047619047
0.2,0.1,1.0,0.16996047430830039
0.2,0.1,2.0,0.20952380952380953
0.2,0.1,3.0,0.22380952380952382
0.2,0.1,4.0,0.2222222222222222
0.2,0.1,5.0,0.14166666666666666
0.2,0.1,6.0,0.22727272727272727
0.2,0.1,7.0,0.1631578947368421
0.2,0.1,8.0,0.22105263157894736
0.2,0.1,9.0,0.12727272727272726
0.2,0.1,10.0,0.1437908496732026
0.2,0.1,11.0,0.2
0.2,0.1,12.0,0.22807017543859648
0.2,0.1,13.0,0.20952380952380953
0.2,0.1,14.0,0.19852941176470587
0.2,0.1,15.0,0.175
0.2,0.1,16.0,0.20915032679738563
0.2,0.1,17.0,0.1568627450980392
0.2,0.1,18.0,0.18478260869565216
0.2,0.1,19.0,0.19913419913419914
0.2,0.1,20.0,0.17316017316017315
0.2,0.1,21.0,0.19202898550724637
0.2,0.1,22.0,0.16911764705882354
0.2,0.1,23.0,0.19047619047619047
0.2,0.1,24.0,0.19230769230769232
0.2,0.1,25.0,0.18382352941176472
0.2,0.1,26.0,0.17142857142857143
0.2,0.1,27.0,0.16339869281045752
0.2,0.1,28.0,0.16176470588235295
0.2,0.1,29.0,0.1619047619047619
0.2,0.1,30.0,0.20512820512820512
0.2,0.1,31.0,0.2
0.2,0.1,32.0,0.2426470588235294
0.2,0.1,33.0,0.1619047619047619
0.2,0.1,34.0,0.1895424836601307
0.2,0.1,35.0,0.08974358974358974
0.2,0.1,36.0,0.2
0.2,0.1,37.0,0.19298245614035087
0.2,0.1,38.0,0.21052631578947367
0.2,0.1,39.0,0.16363636363636364
0.2,0.1,40.0,0.2222222222222222
0.2,0.1,41.0,0.1568627450980392
0.2,0.1,42.0,0.1619047619047619
0.2,0.1,43.0,0.15384615384615385
0.2,0.1,44.0,0.17582417582417584
0.2,0.1,45.0,0.18382352941176472
0.2,0.1,46.0,0.18115942028985507
0.2,0.1,47.0,0.15789473684210525
0.2,0.1,48.0,0.24836601307189543
0.2,0.1,49.0,0.16339869281045752
0.2,0.1,50.0,0.19117647058823528
0.2,0.1,51.0,0.16363636363636364
0.2,0.1,52.0,0.17647058823529413
0.2,0.1,53.0,0.19473684210526315
0.2,0.1,54.0,0.23333333333333334
0.2,0.1,55.0,0.21182266009852216
0.2,0.1,56.0,0.19607843137254902
0.2,0.1,57.0,0.16996047430830039
0.2,0.1,58.0,0.20261437908496732
0.2,0.1,59.0,0.2077922077922078
0.2,0.1,60.0,0.14333333333333334
0.2,0.1,61.0,0.2134387351778656
0.2,0.1,62.0,0.21904761904761905
0.2,0.1,63.0,0.15204678362573099
0.2,0.1,64.0,0.13450292397660818
0.2,0.1,65.0,0.1341991341991342
0.2,0.1,66.0,0.20952380952380953
0.2,0.1,67.0,0.13725490196078433
0.2,0.1,68.0,0.0989010989010989
0.2,0.1,69.0,0.1503267973856209
0.2,0.1,70.0,0.19696969696969696
0.2,0.1,71.0,0.21645021645021645
0.2,0.1,72.0,0.16809116809116809
0.2,0.1,73.0,0.16304347826086957
0.2,0.1,74.0,0.14705882352941177
